1	1	שלך	אֶמינֶה סֶבְגִי אוֹזדָמָר	איסטנבול שלי	11	מָאדָאם אַטִינָה חָפְנָה אֶת פָּנַיי בְּיָדֶיהָ וְאָמְרָה: "יַלְדִּי, עִם הָעֵינַיִים הַיָּפוֹת שֶׁלְּךָ אַתָּה עָתִיד לִשְׂרוֹף אֶת הַלֵּב לְהַרְבֵּה גְּבָרִים."	מָאדָאם אָטִינָה חָפְנָה אֶת פָּנַיי בְּיָדֶיהָ וְאָמְרָה: "יַלְדָּתִי, עִם הָעֵינַיִים הַיָּפוֹת שֶׁלָּךְ אֶת עֲתִידָה לִשְׂרוֹף אֶת הַלֵּב לְהַרְבֵּה גְּבָרִים."	2
12	11	אותך	אדית נסביט	ספר היצורים	13	וְאָז, דֵּי בְּמַפְתִּיעַ, נִכְנְסָה הָאוֹמֶנֶת פְּנִימָה וְאָמְרָה, "אָדוֹן לָיוֹנֵל יַקִּירִי, הֵם בָּאוּ לָקַחַת אוֹתְךָ כְּדֵי שֶׁתִּהְיֶה מֶלֶךְ."	וְאָז, דֵּי בְּמַפְתִּיעַ, נִכְנְסָה הָאוֹמֶנֶת פְּנִימָה וְאָמְרָה, "גְּבֶרֶת לָיוֹנֵל יַקִּירָתִי, הֵם בָּאוּ לָקַחַת אוֹתְךְ כְּדֵי שֶׁתִּהְיִי מַלְכָּה."	1
13	11	לעצמך	אדית נסביט	ספר היצורים	3	מָה אַתָּה חוֹשֵׁב לְעַצְמְךָ, שֶׁרַק מִפְּנֵי שֶׁאַתָּה מֶלֶךְ אַתָּה כְּבָר לֹא צָרִיךְ לְהִשְׁתַּמֵּשׁ בָּרַגְלַיִם?	מָה אַתְּ חוֹשֶׁבֶת לְעַצְמֵךְ, שֶׁרַק מִפְּנֵי שֶׁאַתְּ מַלְכָּה אַתְּ כְּבָר לֹא צְרִיכָה לְהִשְׁתַּמֵּשׁ בָּרַגְלַיִם?	1
14	11	אותך	אדית נסביט	ספר היצורים	4	וּבְכֵן, אֲנִי מִצְטַעֵר שֶׁהִכְעַסְתִּי אוֹתְךָ, אָמַר לָיוֹנֵל, "בּוֹא, קַח נְשִׁיקָה וְנִהְיֶה חֲבֵרִים."	וּבְכֵן, אֲנִי מִצְטַעֵר שֶׁהִכְעַסְתִּי אוֹתָךְ, אָמַר לָיוֹנֵל, "בּוֹאִי, קְחִי נְשִׁיקָה וְנִהְיֶה חֲבֵרִים."	1
15	11	אותך	אדית נסביט	ספר היצורים	9	אַתָּה מֶלֶךְ קָטָן וְשׁוֹבָב, אָמְרָה, "וְאַף אֶחָד לֹא אוֹהֵב אוֹתְךָ."	אַתְּ מַלְכָּה קְטַנָּה וְשׁוֹבָבָה, אָמְרָה, "וְאַף אֶחָד לֹא אוֹהֵב אוֹתָךְ."	1
16	11	עליך	אדית נסביט	ספר היצורים	8	אָדוֹן יָקָר, הַמֶּלֶךְ שֶׁל אַרְצֵנוּ, סָב-סָב-סָב-סָב-סָב-סָב-סָבְךָ, מֵת, וְעַתָּה עָלֶיךָ לָבוֹא וְלִהְיוֹת מֶלֶךְ.	גְּבֶרֶת יְקָרָה, הַמֶּלֶךְ שֶׁל אַרְצֵנוּ, סָב-סָב-סָב-סָב-סָב-סָב-סָבֵךְ, מֵת, וְעַתָּה עָלַיִךְ לָבוֹא וְלִהְיוֹת מַלְכָּה.	1
17	12	בשבילך	אדית נסביט	רקס פורטונטוס ושות'	8	אֶלֶף לִירוֹת שְׂטֶרְלִינְג לִשְׁלוֹשָׁה-עָשָׂר שְׂעוֹרִים – מְחִיר בִּמְיוּחָד בִּשְׁבִילְךָ, נַעֲרִי הַיָּקָר.	אֶלֶף לִירוֹת שְׂטֶרְלִינְג לִשְׁלוֹשָׁה-עָשָׂר שְׂעוֹרִים – מְחִיר בְּמֵיחֵד בִּשְׁבִילֵךְ, עַלְמָתִי הַיְּקָרָה.	2
18	12	אותך	אדית נסביט	רקס פורטונטוס ושות'	2	אֶצְטָרֵךְ לִתְלוֹת אוֹתְךָ, אַתָּה יוֹדֵעַ, אָמַר הַמֶּלֶךְ בְּסַפְקָנוּת.	אֶצְטָרֵךְ לִתְלוֹת אוֹתָךְ, אַתְּ יוֹדַעַת, אָמַר הַמֶּלֶךְ בְּסַפְקָנוּת.	2
19	12	שמך	אדית נסביט	רקס פורטונטוס ושות'	1	מָה שִׁמְךָ, אָדוֹן יָקָר וּמַקְסִים?	מָה שְׁמֵךְ, גְּבֶרֶת יְקָרָה וּמַקְסִימָה?	2
20	12	לראותך	אדית נסביט	רקס פורטונטוס ושות'	3	גֶ'נְטֶלְמֶן אֶחָד הִגִּיעַ לִרְאוֹתְךָ, נַעֲרִי, אָמְרָה.	גֶּ'נְטֶלְמֵן אֶחָד הִגִּיעַ לִרְאוֹתֵךְ, הָעַלְמָה, אָמְרָה.	2
21	12	דעתך	אדית נסביט	רקס פורטונטוס ושות'	14	אַחֲרֵי שָׁנָה הִיא אָמְרָה לְמֶלֶךְ – "יַקִּירִי, אַתָּה חַיָּב לַעֲשׂוֹת מַשֶּׁהוּ כְּדֵי לְהַסִּיחַ אֶת דַּעְתְּךָ."	אַחֲרֵי שָׁנָה הִיא אָמְרָה לַמַּלְכָּה – "יַקִּירָתִי, אֶת חַיֶּיבֶת לַעֲשׂוֹת מַשֶּׁהוּ כְּדֵי לְהַסִּיחַ אֶת דַּעְתֵּךְ."	1
22	12	מלכותך	אדית נסביט	רקס פורטונטוס ושות'	8	הִיא אָמְרָה – "הַשָּׁב אֶת הַשְּׁטָחִים הַיְּרוּקִּים, הוֹד מַלְכוּתְךָ."	הִיא אָמְרָה – "הַשִּׁיבִי אֶת הַשְּׁטָחִים הַיְּרוּקִּים, הוֹד מַלְכוּתְךָ."	1
23	12	בהמלצותיך	אדית נסביט	רקס פורטונטוס ושות'	6	אַתָּה דַּיְּקָן כְּתָמִיד, בְּדִיּוּק כְּפִי שֶׁנִּכְתַּב בְּהַמְלָצוֹתֶיךָ.	אַתְּ דַּיְּקָנִית כְּתָמִיד, בְּדִיּוּק כְּפִי שֶׁנִּכְתַּב בְּהַמְלָצוֹתֶיךָ.	1
24	12	ועליך	אדית נסביט	רקס פורטונטוס ושות'	15	אַתָּה יָכוֹל לִבְנוֹת עַל כָּל הַשֶּׁטַח, פְּרָט לְשִׁבְעַת הָאַקֶרִים בְּרֹאשׁ הַגִּבְעָה וּלְחַמְשָׁה-עָשָׂר אַקֶרִים נוֹסָפִים מִסְּבִיבָם, וְעָלֶיךָ לִבְנוֹת לִי חוֹמָה גְּבוֹהָה סְבִיב שִׁבְעַת הָאַקֶרִים.	אַתְּ יְכוֹלָה לִבְנוֹת עַל כָּל הַשֶּׁטַח, פְּרָט לְשִׁבְעַת הָאַקֶרִים בְּרֹאשׁ הַגִּבְעָה וְלַחֲמִישָּׁה-עָשָׂר אַקֶרִים נוֹסָפִים מִסְּבִיבָם, וְעָלַיִךְ לִבְנוֹת לִי חוֹמָה גְּבוֹהָה סְבִיב שִׁבְעַת הָאַקֶרִים.	1
25	12	רגליך	אדית נסביט	רקס פורטונטוס ושות'	10	תְּסַפֵּר לָנוּ אֵיךְ לִמְצוֹא אוֹתָן, וּלְאַחַר הַחֲתוּנּוֹת שֶׁלָּנוּ נָשִׁיב אֶת רַגְלֶיךָ לָאוֹר הַיּוֹם.	תְּסַפְּרִי לָנוּ אֵיךְ לִמְצוֹא אוֹתָן, וּלְאַחַר הַחֲתוּנּוֹת שֶׁלָּנוּ נָשִׁיב אֶת רַגְלַיִךְ לָאוֹר הַיּוֹם.	1
26	12	רגליך	אדית נסביט	רקס פורטונטוס ושות'	13	אָמְרוּ הַנְּסִיכִים בְּנִימָה מְאַיֶּמֶת; "אִם לֹא תְּסַפֵּר לָנוּ, לְעוֹלָם לֹא תּוּכַל לַעֲמוֹד עַל רַגְלֶיךָ."	אָמְרוּ הַנְּסִיכִים בְּנִימָה מְאַיֶּמֶת; "אִם לֹא תְּסַפְּרִי לָנוּ, לְעוֹלָם לֹא תּוּכְלִי לַעֲמוֹד עַל רַגְלַיִךְ."	1
27	12	שלך	אדית נסביט	רקס פורטונטוס ושות'	8	וְאִם תַּעֲשֶׂה זֹאת, לְעוֹלָם לֹא תִּרְאֶה אֶת דֶּיְיזִי שֶׁלָּךְ שׁוּב.	וְאִם תַּעֲשִׂי זֹאת, לְעוֹלָם לֹא תִּרְאִי אֶת דֶּיְיזִי שֶׁלָּךְ שׁוּב.	1
28	13	אצלך	אדם מארק	טמגוצ׳י	9	תַּתְחִיל לֶאֱסוֹף אֶת הַצַּעֲצוּעִים שֶׁלָּךְ עַכְשָׁיו וּמִימוֹ יוּכַל לְהִישָּׁאֵר אֶצְלְךָ.	תַּתְחִילִי לֶאֱסוֹף אֶת הַצַּעֲצוּעִים שֶׁלָּךְ עַכְשָׁיו וּמִימוֹ יוּכַל לְהִישָּׁאֵר אֶצְלֵךְ.	1
29	13	אצלך	אדם מארק	טמגוצ׳י	7	רַק תֶּאֱסוֹף אֶת הַצַּעֲצוּעִים וּמִימוֹ יוּכַל לְהִישָּׁאֵר אֶצְלֵךְ.	רַק תַּאַסְפִי אֶת הַצַּעֲצוּעִים וּמִימוֹ יוּכַל לְהִישָּׁאֵר אֶצְלֵךְ.	1
30	15	אותך	אדמונדו פאס סולדן	פוקנר	2	אֲנִי אוֹהֵב אוֹתְךָ, אַבָּא.	אֲנִי אוֹהֵב אוֹתְךָ, אִמָּא.	1
31	15	עליך	אדמונדו פאס סולדן	פוקנר	11	אַף פַּעַם לֹא הֶרְאִיתָ לִי מָה שֶׁאַתָּה כּוֹתֵב, אֲבָל אֲנִי סוֹמֵךְ עָלֶיךָ שֶׁלֹּא תְּוַותֵּר.	אַף פַּעַם לֹא הֶרְאֵית לִי מָה שֶׁאַתְּ כּוֹתֶבֶת, אֲבָל אֲנִי סוֹמֵךְ עָלַיִךְ שֶׁלֹּא תְּוַותְּרִי.	1
32	16	שלך	או. הנרי	העלה האחרון	2	תַּגִּיד לַסּוֹדִי שֶׁלְּךָ.	תַּגִּידִי לַסּוֹדִי שֶׁלָּךְ.	2
33	16	עצמך	או. הנרי	העלה האחרון	8	תַּחֲשׁוֹב עָלַי, אִם אַתָּה לֹא מוּכָן לַחֲשׁוֹב עַל עַצְמְךָ.	תַּחְשְׁבִי עָלַי, אִם אַתְּ לֹא מוּכָנָה לַחֲשׁוֹב עַל עַצְמְךָ.	2
34	16	לך	או. הנרי	העלה האחרון	14	אִם רַק תִּגְרוֹם לָהּ לִשְׁאוֹל שְׁאֵלָה אַחַת עַל אוֹפְנַת הַחוֹרֶף בְּשַׁרְווּלֵי מְעִילִים, אֲנִי מַבְטִיחַ לְךָ בִּשְׁבִילָהּ סִיכּוּי שֶׁל אַחַת לְחָמֵשׁ, בִּמְקוֹם אַחַת לְעֶשֶׂר.	אִם רַק תִּגְרְמִי לָהּ לִשְׁאוֹל שְׁאֵלָה אַחַת עַל אוֹפְנַת הַחוֹרֶף בְּשַׁרְווּלֵי מְעִילִים, אֲנִי מַבְטִיחַ לָךְ בִּשְׁבִילָהּ סִיכּוּי שֶׁל אַחַת לְחָמֵשׁ, בִּמְקוֹם אַחַת לְעֶשֶׂר.	2
35	16	לך	או. הנרי	העלה האחרון	4	יֵשׁ לִי מַשֶּׁהוּ לְסַפֵּר לְךָ, עַכְבָּר לָבָן, אָמְרָה.	יֵשׁ לִי מַשֶּׁהוּ לְסַפֵּר לָךְ, עַכְבָּרִית לְבָנָה, אָמְרָה.	2
36	17	אותך	או. הנרי	כופר נפשו של הצ'יף האדום	9	אִם לֹא תִּתְנַהֵג כְּמוֹ שֶׁצָּרִיךְ, אוֹמֵר אֲנִי, "אֲנִי לוֹקֵחַ אוֹתְךָ יָשָׁר הַבַּיְתָה."	אִם לֹא תִּתְנַהֲגִי כְּמוֹ שֶׁצָּרִיךְ, אוֹמֵר אֲנִי, "אֲנִי לוֹקֵחַ אוֹתָךְ יָשָׁר הַבַּיְתָה."	1
37	17	לימינך	או. הנרי	כופר נפשו של הצ'יף האדום	7	אַתָּה יוֹדֵעַ, סֵם, אוֹמֵר בִּיל, "אֲנִי עָמַדְתִּי לִימִינְךָ בְּלִי לְהָנִיד עַפְעַף בִּרְעִידוֹת אֲדָמָה, בְּאֵשׁ וּבְמַיִם."	אַתְּ יוֹדַעַת, סָמֶנְתָה, אוֹמֵר בִּיל, "אֲנִי עָמַדְתִּי לִימִינֵךְ בְּלִי לְהָנִיד עַפְעַף בִּרְעִידוֹת אֲדָמָה, בְּאֵשׁ וּבְמַיִם."	1
38	17	שלך	או. הנרי	כופר נפשו של הצ'יף האדום	18	וְכָךְ, כְּדֵי לְהָקֵל עַל בִּיל, נַעֲנֵיתִי, וּבְשִׁיתּוּף-פְּעוּלָּה חִיבַּרְנוּ מִכְתָּב בָּזוֹ הַלָּשׁוֹן:  מַר אֶבֶן-עֵזֶר דּוֹרְסְט, אֲנַחְנוּ מַחְבִּיאִים אֶת הַבֵּן שֶׁלְּךָ אֶצְלֵנוּ, רָחוֹק מִפִּסְגָּה.	וְכָךְ, כְּדֵי לְהָקֵל עַל בִּיל, נַעֲנֵיתִי, וּבְשִׁיתּוּף-פְּעוּלָּה חִיבַּרְנוּ מִכְתָּב בָּזוֹ הַלָּשׁוֹן:  גְּבֶרֶת אֶבֶן-עֵזֶר דּוֹרְסְט, אֲנַחְנוּ מַחְבִּיאִים אֶת הַבֵּן שֶׁלָּךְ אֶצְלֵנוּ, רָחוֹק מִפִּסְגָּה.	1
39	17	שלך	או. הנרי	כופר נפשו של הצ'יף האדום	19	אִם תְּנַסֶּה לְרַמּוֹת אוֹתָנוּ בְּדֶרֶךְ כָּלְשֶׁהִי, אוֹ אִם לֹא תְּמַלֵּא אֶת דְּרִישָׁתֵנוּ לְפִי הָאָמוּר, לְעוֹלָם לֹא תִּרְאֶה אֶת הַיֶּלֶד שֶׁלְּךָ.	אִם תְּנַסִּי לְרַמּוֹת אוֹתָנוּ בְּדֶרֶךְ כָּלְשֶׁהִי, אוֹ אִם לֹא תְּמַלְּאִי אֶת דְּרִישָׁתֵנוּ לְפִי הָאָמוּר, לְעוֹלָם לֹא תִּרְאִי אֶת הַיֶּלֶד שֶׁלָּךְ.	1
40	17	אותך	או. הנרי	כופר נפשו של הצ'יף האדום	9	שְׁמַע, אַתָּה תַּפְסִיק לִבְעוֹט בִּי אוֹ שֶׁאֲנִי קָם וּמְנַפֵּחַ אוֹתְךָ.	שִׁמְעִי, אַתְּ תַּפְסִיקִי לִבְעוֹט בִּי אוֹ שֶׁאֲנִי קָם וּמְנַפֵּחַ אוֹתָךְ.	1
41	18	דעתך	או. הנרי	מתנת חכמי-הקדם	2	וְעַכְשָׁיו, מָה דַּעְתְּךָ שֶׁתָּשִׂים אֶת הַצַּלְעִיּוֹת עַל הָאֵשׁ?	וְעַכְשָׁיו, מָה דַּעְתֵּךְ שֶׁתָּשִׂימִי אֶת הַצַּלְעִיּוֹת עַל הָאֵשׁ?	2
42	18	שערותיך	או. הנרי	מתנת חכמי-הקדם	3	אַתָּה גָּזַזְתָּ אֶת שַׂעֲרוֹתֶיךָ?	אַתְּ גָּזַזְתְּ אֶת שַׂעֲרוֹתַיִךְ?	2
43	18	ששערך	או. הנרי	מתנת חכמי-הקדם	2	אַתָּה אוֹמֵר שֶׁשְּׂעָרְךָ אֵינֶנּוּ?	אַתְּ אוֹמֶרֶת שֶׁשְּׂעָרֵךְ אֵינֶנּוּ?	2
44	18	אינך	או. הנרי	מתנת חכמי-הקדם	0	אֵינְךָ אוֹהֵב אוֹתִי בְּאוֹתָהּ מִידָּה, בֵּין כֹּה וָכֹה?	אֵינֵךְ אוֹהֶבֶת אוֹתִי בְּאוֹתָהּ מִידָּה, בֵּין כֹּה וָכֹה?	1
45	18	למענך	או. הנרי	מתנת חכמי-הקדם	4	נְהַג עִמִּי יָפֶה, כִּי לְמַעַנְךָ הָלַךְ וְאֵינֶנּוּ.	נַהֲגִי עִמִּי יָפֶה, כִּי לְמַעֲנֵךְ הָלַךְ וְאֵינֶנּוּ.	1
46	18	שעונך	או. הנרי	מתנת חכמי-הקדם	3	תֵּן לִי אֶת שְׁעוֹנְךָ.	תְּנִי לִי אֶת שְׁעוֹנֵךְ.	1
47	21	חייך	אונורה דה בלזק	אל וֶרדוּגוֹ	11	הַקָּצִין הֶחֱוִויר, אַךְ אָזַר עוֹז לְהֵיחָפֵז וְלוֹמַר: "הַגֵּנֵרָל יַעֲנִיק לְךָ אֶת חַיֶּיךָ בְּמַתָּנָה אִם תִּינָּשֵׂא לִי!"	הַקָּצִין הֶחֱוִויר, אַךְ אָזַר עוֹז לְהֵיחָפֵז וְלוֹמַר: "הַגֵּנֵרָל יַעֲנִיק לָךְ אֶת חַיַּיִךְ בְּמַתָּנָה אִם תִּינָּשְׁאִי לִי!"	2
48	21	אינך	אונורה דה בלזק	אל וֶרדוּגוֹ	0	אֵינְךָ צָרִיךְ לְשַׁלֵּם עַל נִבְזוּתָם שֶׁל הַסְּפָרַדִּים.	אֵינֵךְ צְרִיכָה לְשַׁלֵּם עַל נִבְזוּתָם שֶׁל הַסְּפָרַדִּים.	1
49	21	לך	אונורה דה בלזק	אל וֶרדוּגוֹ	2	הַזָּקֵן מַצִּיעַ לְךָ אֶת כָּל כַּסְפּוֹ, רְכוּשׁוֹ וּנְכָסָיו אִם תּוֹאִיל לָחוֹן אֶת בְּנוֹ הַצָּעִיר.	הַזָּקֵן מַצִּיעַ לָךְ אֶת כָּל כַּסְפּוֹ, רְכוּשׁוֹ וּנְכָסָיו אִם תּוֹאִילִי לָחוֹן אֶת בְּנוֹ הַצָּעִיר.	1
50	21	בך	אונורה דה בלזק	אל וֶרדוּגוֹ	20	וְכוּלָּם, בְּהוֹשִׁיטָם אֶת יְדֵיהֶם לְעֵבֶר מִי שֶׁהָיָה חַיָּיב לְהַצִּיל אֶת מִשְׁפַּחְתָּם מִתְּהוֹם הַנְּשִׁייָּה, נִשְׁמְעוּ כְּחוֹזְרִים עַל דִּבְרֵי הָאָב: "בְּנֵי, הָאֵין בְּךָ אוֹתָהּ נִמְרָצוֹת סְפָרַדִּית וּרְגִישׁוּת אֱמֶת?"	וְכוּלָּם, בְּהוֹשִׁיטָם אֶת יְדֵיהֶם לְעֵבֶר מִי שֶׁהָיְתָה חַיֶּיבֶת לְהַצִּיל אֶת מִשְׁפַּחְתָּם מִתְּהוֹם הַנְּשִׁייָּה, נִשְׁמְעוּ כְּחוֹזְרִים עַל דִּבְרֵי הָאָב: "בִּתִּי, הָאֵין בָּךְ אוֹתָהּ נִמְרָצוֹת סְפָרַדִּית וּרְגִישׁוּת אֱמֶת?"	1
51	21	בך	אונורה דה בלזק	אל וֶרדוּגוֹ	7	וְעַתָּה, מַרְקִיז, הַכֵּה בְּלִי פַּחַד, כִּי אֵין בְּךָ רְבָב.	וְעַתָּה, מַרְקִיזָה, הַכִּי בְּלִי פַּחַד, כִּי אֵין בָּךְ רְבָב.	1
52	21	לפניך	אונורה דה בלזק	אל וֶרדוּגוֹ	2	הוּא מִתְחַנֵּן לְפָנֶיךָ שֶׁתּוֹאִיל לַעֲרוֹף אֶת רָאשֵׁיהֶם שֶׁל הָאֲצִילִים.	הוּא מִתְחַנֵּן לְפָנַיִךְ שֶׁתּוֹאִילִי לַעֲרוֹף אֶת רָאשֵׁיהֶם שֶׁל הָאֲצִילִים.	1
53	21	פקודותיך	אונורה דה בלזק	אל וֶרדוּגוֹ	7	קָרְאָה, "הַשְׁבֵּעַ נָא אֶת חוּאַנִיטוֹ שֶׁיְּמַלֵּא אַחֵר פְּקוּדּוֹתֶיךָ בְּנֶאֱמָנוּת.	קָרְאָה, "הַשְׁבִּיעִי נא אֶת חוּאַנִיטוֹ שֶׁיְּמַלֵּא אַחַר פְּקוּדוֹתַיִךְ בְּנֶאֱמָנוּת."	1
54	21	מידיך	אונורה דה בלזק	אל וֶרדוּגוֹ	22	חוּאַנִיטוֹ, יַקִּירִי שֶׁלִּי, אָמְרָה בְּנִימָה שֶׁל עֲלִיצוּת בְּעוֹדָהּ כּוֹרֶכֶת אֶת זְרוֹעוֹתֶיהָ סְבִיב צַוָּוארוֹ וְנוֹשֶׁקֶת לְעַפְעַפָּיו, "אִילּוּ רַק יָדַעְתָּ כַּמָּה מָתוֹק יִהְיֶה הַמָּוֶות מִיָּדֶיךָ.	חָוּאַנִיטָה, יַקִּירָתִי שֶׁלִּי, אָמְרָה בְּנִימָה שֶׁל עֲלִיצוּת בְּעוֹדָהּ כּוֹרֶכֶת אֶת זְרוֹעוֹתֶיהָ סְבִיב צַוָּוארָהּ וְנוֹשֶׁקֶת לְעַפְעַפֶּיהָ, "אִילּוּ רַק יָדַעְתְּ כַּמָּה מָתוֹק יִהְיֶה הַמָּוֶות מִיָּדַיִךְ."	1
55	21	עליך	אונורה דה בלזק	אל וֶרדוּגוֹ	0	עָלֶיךָ לְאֵזוֹר עוֹז, אָמַר לוֹ אָחִיו פִילִיפּ, "שֶׁאִם לֹא כֵּן, מִשְׁפַּחְתֵּנוּ תִּיכָּחֵד."	עָלַיִךְ לְאֵזוֹר עוֹז, אָמַר לָהּ אָחִיהָ פִילִיפּ, "שֶׁאִם לֹא כֵּן, מִשְׁפַּחְתֵּנוּ תִּיכָּחֵד."	1
56	22	לך	אוסקר וויילד	הדייג ונשמתו	11	רַק אֱמוֹר לִי אֵיךְ אוּכַל לְשַׁלֵּחַ אֶת נִשְׁמָתִי מֵעַל פָּנַיי, וְאֶתֵּן לְךָ אֶת כָּל אֲשֶׁר לִי.	רַק אִמְרִי לִי אֵיךְ אוֹכֶל לְשַׁלֵּחַ אֶת נִשְׁמָתִי מֵעַל פָּנַיי, וְאֶתֵּן לָךְ אֶת כָּל אֲשֶׁר לִי.	2
57	22	לך	אוסקר וויילד	הדייג ונשמתו	6	אַךְ אֶת אֲשֶׁר תְּבַקֵּשׁ מִמֶּנִּי, אֶתֵּן לְךָ, כִּי אַךְ דָּבָר קָטָן הוּא.	אַךְ אַתְּ אֲשֶׁר תְּבַקְּשִׁי מִמֶּנִּי, אֶתֵּן לָךְ, כִּי אַךְ דָּבָר קָטָן הוּא.	2
58	22	לך	אוסקר וויילד	הדייג ונשמתו	4	לֹא, עָנָה, "לֹא אַנִּיחַ לְךָ לָלֶכֶת עַד אֲשֶׁר תֹּאמַר לִי אֶת הַסּוֹד."	לֹא, עָנָה, "לֹא אַנִּיחַ לָךְ לָלֶכֶת עַד אֲשֶׁר תֹּאמְרִי לִי אֶת הַסּוֹד."	2
59	22	בך	אוסקר וויילד	הדייג ונשמתו	5	הִסְתַּלֵּק, כִּי אֵין לִי חֵפֶץ בְּךָ, קָרָא הַדַּיָּיג הַצָּעִיר.	הִסְתַּלְּקִי, כִּי אֵין לִי חָפֵץ בָּךְ, קָרָא הַדַּיָּיג הַצָּעִיר.	2
